date,qcf_Free Cash Flow,qcf_Issuance Of Debt,qcf_Issuance Of Capital Stock,qcf_Capital Expenditure,qcf_End Cash Position,qcf_Beginning Cash Position,qcf_Effect Of Exchange Rate Changes,qcf_Changes In Cash,qcf_Financing Cash Flow,qcf_Cash Flow From Continuing Financing Activities,qcf_Net Other Financing Charges,qcf_Net Common Stock Issuance,qcf_Common Stock Issuance,qcf_Net Issuance Payments Of Debt,qcf_Net Long Term Debt Issuance,qcf_Long Term Debt Issuance,qcf_Investing Cash Flow,qcf_Cash Flow From Continuing Investing Activities,qcf_Net Investment Purchase And Sale,qcf_Sale Of Investment,qcf_Purchase Of Investment,qcf_Net Business Purchase And Sale,qcf_Purchase Of Business,qcf_Net Intangibles Purchase And Sale,qcf_Purchase Of Intangibles,qcf_Net PPE Purchase And Sale,qcf_Purchase Of PPE,qcf_Operating Cash Flow,qcf_Cash Flow From Continuing Operating Activities,qcf_Change In Working Capital,qcf_Change In Other Working Capital,qcf_Change In Other Current Liabilities,qcf_Change In Other Current Assets,qcf_Change In Payables And Accrued Expense,qcf_Change In Accrued Expense,qcf_Change In Payable,qcf_Change In Account Payable,qcf_Change In Prepaid Assets,qcf_Change In Receivables,qcf_Changes In Account Receivables,qcf_Other Non Cash Items,qcf_Stock Based Compensation,qcf_Asset Impairment Charge,qcf_Amortization Of Securities,qcf_Depreciation Amortization Depletion,qcf_Depreciation And Amortization,qcf_Amortization Cash Flow,qcf_Amortization Of Intangibles,qcf_Depreciation,qcf_Net Income From Continuing Operations
2021-03-31,142080000,0,30221000,-22133000,1600530000,893943000,0,706587000,564507000,564507000,0,30221000,30221000,0,0,0,-22389000,-22389000,0,21000000,-5991000,0,0,0,–256000,–22133000,–22133000,164469000,164469000,216135000,13269000,16273000,–10967000,15491000,3269000,–782000,–782000,–10967000,13256000,13256000,–52000,50744000,0,0,16620000,16620000,0,0,16600000,–134200000
2021-06-30,168016000,0,11668000,-23235000,1780262000,1600530000,48000,179732000,576175000,576175000,0,41889000,5996000,0,0,0,-45624000,-45624000,0,36000000,-5991000,0,0,0,–256000,–45368000,–26249000,355720000,355720000,355720000,74129000,74129000,–27264000,76442000,9834000,2313000,2313000,–27264000,29960000,29960000,16000,132403000,0,0,34410000,34410000,0,0,17800000,–140100000
2021-09-30,170603000,0,20389000,-2963000,1925559000,1780262000,45000,145297000,596564000,596564000,0,62278000,9654000,0,0,0,-101879000,-101879000,0,54000000,-5991000,0,-45692000,-7856000,–7600000,–48331000,–48331000,536886000,536886000,536886000,38098000,38098000,–19501000,37868000,10430000,–230000,–230000,–19501000,77086000,77086000,1137000,221722000,0,0,53439000,53439000,0,0,19000000,–74000000
2021-12-31,77281000,990000000,13899000,-44942000,3004300000,1925559000,-100000,1078741000,1001560000,1001560000,-2339000,76177000,13899000,987661000,987661000,990000000,-146821000,-146821000,0,9000000,0,0,0,-7856000,0,–93273000,–44942000,659109000,659109000,659109000,58809000,58809000,–13593000,82178000,27373000,23369000,23369000,5908000,–61044000,–61044000,680000,341942000,0,0,75622000,75622000,0,0,22200000,–147257000
2022-03-31,104600000,0,24328000,-51800000,3128000000,3004300000,-6000,128664000,43642000,43642000,0,45752000,3046000,0,0,0,-441051000,-441051000,0,0,-1169947000,0,-13388000,-1500000,–1500000,–426163000,–157205000,369296000,369296000,369296000,19560000,19560000,–33769000,30862000,19560000,10302000,10302000,–33769000,–72479000,–72479000,361000,589498000,0,0,130083000,130083000,0,0,24500000,–160200000
2022-06-30,–57300000,0,13899000,-83900000,3091000000,3128000000,863000,-307865000,1810000,1810000,-3051000,45752000,5548000,0,0,0,-164428000,-164428000,0,0,-1032756000,0,0,0,0,–157205000,–157205000,182977000,182977000,182977000,12578000,12578000,8835000,18633000,12578000,18633000,18633000,8835000,–192427000,–192427000,395000,169456000,0,0,42538000,42538000,0,0,29000000,-176400000
2022-09-30,–67700000,0,3046000,-133400000,2977474000,3128000000,1064000,-26826000,1810000,1810000,-4302000,45752000,12830000,0,0,0,-441051000,-441051000,0,0,-1601000000,0,-13388000,-1500000,–1500000,–426163000,–157205000,369296000,369296000,369296000,19560000,19560000,–33769000,30862000,19560000,10302000,10302000,–33769000,–72479000,–72479000,361000,589498000,0,0,130083000,130083000,0,0,34000000,–301902000
2022-12-31,–38000000,0,3046000,-157205000,2977474000,3004300000,1287000,-26826000,1810000,1810000,-1988000,45752000,3046000,0,0,0,-441051000,-441051000,0,0,-1032000000,0,0,0,0,–426163000,–157205000,369296000,369296000,369296000,19560000,19560000,–33769000,30862000,19560000,10302000,10302000,–33769000,–72479000,–72479000,361000,589498000,0,0,130083000,130083000,0,0,42600000,–291485000
2023-03-31,120500000,0,36531000,-100000000,3104000000,2977474000,1843000,99526000,36531000,36531000,0,36531000,36531000,0,0,0,-35291000,-35291000,-2255921000,151771000,-1169947000,0,0,0,0,–17365000,–17365000,173800000,173800000,173800000,87792000,–5200000,–12449000,13767000,-17004000,18967000,18967000,–12449000,211324000,211324000,–5146000,258936000,0,–19368000,53734000,53734000,53741000,0,47400000,–268300000
2023-06-30,26500000,0,5635000,-110900000,3112000000,3021507000,-634000,-13033000,20335000,20335000,3277000,36531000,5635000,0,0,0,-146820000,-146820000,469010000,0,-702560000,0,0,0,0,-110915000,-110915000,28400000,28400000,28400000,141653000,–5340000,2200000,22071000,–5340000,-16731000,-16731000,2200000,9435000,9435000,-2067000,212362000,0,-20474000,52600000,52600000,0,0,52600000,-282800000
2023-09-30,59500000,,16209000,-53200000,3000000000,2977474000,-409000,-363775000,13148000,13148000,4262000,36531000,16209000,0,0,0,-441050000,-441050000,0,0,-761151000,0,0,0,0,–53200000,–53200000,112700000,112700000,112700000,43029000,12578000,8835000,18633000,19745000,18633000,18633000,8835000,–72479000,–72479000,395000,169456000,0,-20943000,42538000,42538000,0,0,53600000,–277200000
2023-12-31,120600000,0,13148000,-78108000,4041000000,2977474000,337000,98417000,5910000,5910000,-898000,36531000,5910000,0,0,0,-2825000000,-2825000000,0,0,-788063000,0,0,0,0,–78108000,–78108001,143300000,143300000,143300000,208498000,20711000,5908000,20711000,11279000,23599000,23599000,5908000,–138130000,–138130000,–457000,120220000,0,-22393000,22183000,22183000,0,0,54542000,–323700000
2024-03-31,191066000.0,0.0,32670000.0,-47880000.0,866414000.0,678466000.0,-634000.0,188582000.0,28220000.0,28220000.0,-4450000.0,32670000.0,32670000.0,0.0,0.0,0.0,-78584000.0,-78584000.0,-30704000.0,1002052000.0,-1032756000.0,0.0,0.0,-1200000.0,-1200000.0,-46680000.0,-46680000.0,238946000.0,238946000.0,208498000.0,95816000.0,-33330000.0,51000.0,-12797000.0,-9221000.0,-3576000.0,-3576000.0,-15310000.0,174068000.0,174068000.0,28060000.0,240502000.0,63000.0,-19998000.0,53741000.0,53741000.0,5100000.0,5100000.0,48700000.0,-271920000.0
2024-06-30,111578000.0,0.0,4577000.0,-39871000.0,966406000.0,866414000.0,-711000.0,100703000.0,4577000.0,4577000.0,0.0,4577000.0,4577000.0,0.0,0.0,0.0,-55323000.0,-55323000.0,-13452000.0,820574000.0,-834026000.0,0.0,0.0,-170000.0,-170000.0,-39701000.0,-39701000.0,151449000.0,151449000.0,43029000.0,49219000.0,31742000.0,-6717000.0,-19547000.0,-14295000.0,-5252000.0,-5252000.0,2355000.0,-14023000.0,-14023000.0,30107000.0,251891000.0,380000.0,-19535000.0,52772000.0,52772000.0,0.0,0.0,0.0,-207195000.0
2024-09-30,218025000.0,0.0,19949000.0,-29405000.0,602631000.0,966406000.0,2499000.0,-366274000.0,19949000.0,19949000.0,0.0,19949000.0,19949000.0,0.0,0.0,0.0,-633653000.0,-633653000.0,-603408000.0,1003997000.0,-1607405000.0,-840000.0,-840000.0,0.0,0.0,-29405000.0,-29405000.0,247430000.0,247430000.0,141653000.0,165283000.0,-13746000.0,1744000.0,12662000.0,8238000.0,4424000.0,4424000.0,16295000.0,-40585000.0,-40585000.0,31448000.0,265165000.0,1907000.0,-20909000.0,68613000.0,68613000.0,0.0,0.0,0.0,-240447000.0
2024-12-31,120631000.0,0.0,13148000.0,-63860000.0,711683000.0,602631000.0,-4075000.0,113127000.0,13148000.0,13148000.0,0.0,13148000.0,13148000.0,0.0,0.0,0.0,-84512000.0,-84512000.0,-20652000.0,1147701000.0,-1168353000.0,0.0,0.0,0.0,0.0,-63860000.0,-63860000.0,184491000.0,184491000.0,87792000.0,319407000.0,-6192000.0,1546000.0,9450000.0,12573000.0,-3123000.0,-3123000.0,-6480000.0,-229939000.0,-229939000.0,29875000.0,258236000.0,722000.0,-22393000.0,51311000.0,51311000.0,0.0,0.0,0.0,-221052000.0
2025-03-31,426549000.0,0.0,36531000.0,-17365000.0,1158680000.0,711683000.0,1843000.0,445154000.0,36531000.0,36531000.0,0.0,36531000.0,36531000.0,0.0,0.0,0.0,-35291000.0,-35291000.0,-17926000.0,1152021000.0,-1169947000.0,0.0,0.0,0.0,0.0,-17365000.0,-17365000.0,443914000.0,443914000.0,336516000.0,145277000.0,-16257000.0,-5146000.0,13767000.0,-5200000.0,18967000.0,18967000.0,-12449000.0,211324000.0,211324000.0,30651000.0,258936000.0,-215000.0,-19368000.0,53734000.0,53734000.0,0.0,0.0,0.0,-216340000.0
