date,qis_Tax Effect Of Unusual Items,qis_Tax Rate For Calcs,qis_Normalized EBITDA,qis_Net Income From Continuing Operation Net Minority Interest,qis_Reconciled Depreciation,qis_Reconciled Cost Of Revenue,qis_EBITDA,qis_EBIT,qis_Net Interest Income,qis_Interest Expense,qis_Interest Income,qis_Normalized Income,qis_Net Income From Continuing And Discontinued Operation,qis_Total Expenses,qis_Total Operating Income As Reported,qis_Diluted Average Shares,qis_Basic Average Shares,qis_Diluted EPS,qis_Basic EPS,qis_Diluted NI Availto Com Stockholders,qis_Net Income Common Stockholders,qis_Net Income,qis_Minority Interests,qis_Net Income Including Noncontrolling Interests,qis_Net Income Continuous Operations,qis_Tax Provision,qis_Pretax Income,qis_Other Income Expense,qis_Other Non Operating Income Expenses,qis_Net Non Operating Interest Income Expense,qis_Total Other Finance Cost,qis_Interest Expense Non Operating,qis_Interest Income Non Operating,qis_Operating Income,qis_Operating Expense,qis_Other Operating Expenses,qis_Research And Development,qis_Selling General And Administration,qis_Selling And Marketing Expense,qis_General And Administrative Expense,qis_Other Gand A,qis_Gross Profit,qis_Cost Of Revenue,qis_Total Revenue,qis_Operating Revenue
2021-03-31,0.0,0.0,-134100000.0,-134200000.0,18100000.0,79700000.0,-134100000.0,-149500000.0,200000.0,300000.0,500000.0,-134200000.0,-134200000.0,521200000.0,-149500000.0,568600000.0,568600000.0,-0.46,-0.46,-134200000.0,-134200000.0,-134200000.0,0.0,-134200000.0,-134200000.0,0.0,-134200000.0,200000.0,200000.0,200000.0,0.0,300000.0,500000.0,-149500000.0,441600000.0,163600000.0,89700000.0,73900000.0,11500000.0,62400000.0,62400000.0,307400000.0,79700000.0,387000000.0,387000000.0
2021-06-30,0.0,0.21,-126700000.0,-140100000.0,22000000.0,88600000.0,-126700000.0,-148700000.0,300000.0,300000.0,600000.0,-140100000.0,-140100000.0,602800000.0,-148700000.0,581600000.0,581600000.0,-0.25,-0.25,-140100000.0,-140100000.0,-140100000.0,1000000.0,-139100000.0,-139100000.0,100000.0,-139000000.0,-400000.0,-400000.0,300000.0,300000.0,300000.0,600000.0,-148700000.0,514800000.0,173800000.0,124400000.0,78500000.0,12300000.0,66200000.0,66200000.0,315800000.0,88600000.0,404400000.0,404400000.0
2021-09-30,0.0,0.21,-74400000.0,-77200000.0,25800000.0,96000000.0,-74400000.0,-100200000.0,100000.0,300000.0,400000.0,-77200000.0,-77200000.0,658500000.0,-100200000.0,583500000.0,583500000.0,-0.13,-0.13,-77200000.0,-77200000.0,-77200000.0,700000.0,-76500000.0,-76500000.0,400000.0,-76100000.0,-1200000.0,-1200000.0,100000.0,100000.0,400000.0,400000.0,-100200000.0,583600000.0,193800000.0,118400000.0,82300000.0,12900000.0,69400000.0,69400000.0,361700000.0,96000000.0,457700000.0,457700000.0
2021-12-31,0.0,0.21,-74400000.0,-143300000.0,29000000.0,103000000.0,-74400000.0,-117000000.0,500000.0,400000.0,900000.0,-143300000.0,-143300000.0,666300000.0,-117000000.0,581500000.0,581500000.0,-0.25,-0.25,-143300000.0,-143300000.0,-143300000.0,3900000.0,-139400000.0,-139400000.0,300000.0,-139100000.0,1500000.0,1500000.0,500000.0,500000.0,900000.0,900000.0,-117000000.0,563500000.0,213400000.0,162400000.0,92600000.0,15800000.0,76800000.0,76800000.0,425800000.0,103000000.0,528800000.0,528800000.0
2022-03-31,0.0,0.21,-67900000.0,-160200000.0,32900000.0,115200000.0,-67900000.0,-130400000.0,1500000.0,1000000.0,2500000.0,-160200000.0,-160200000.0,761500000.0,-150500000.0,584700000.0,584700000.0,-0.27,-0.27,-160200000.0,-160200000.0,-160200000.0,1200000.0,-161400000.0,-161400000.0,300000.0,-161100000.0,1400000.0,1400000.0,1000000.0,1000000.0,2500000.0,2500000.0,-150500000.0,646200000.0,270200000.0,168400000.0,110400000.0,18000000.0,92400000.0,92400000.0,391100000.0,115200000.0,506300000.0,506300000.0
2022-06-30,0.0,0.21,-66800000.0,-176400000.0,36000000.0,128800000.0,-66800000.0,-142900000.0,3300000.0,2200000.0,5500000.0,-176400000.0,-176400000.0,807400000.0,-147700000.0,601600000.0,601600000.0,-0.3,-0.3,-176400000.0,-176400000.0,-176400000.0,1300000.0,-177700000.0,-177700000.0,1200000.0,-176500000.0,200000.0,200000.0,2200000.0,2200000.0,5500000.0,5500000.0,-147700000.0,678600000.0,269800000.0,171000000.0,117400000.0,19800000.0,97600000.0,97600000.0,429200000.0,128800000.0,558000000.0,558000000.0
2022-09-30,0.0,0.21,-50200000.0,-295300000.0,41800000.0,150200000.0,-50200000.0,-192000000.0,4200000.0,3200000.0,7400000.0,-295300000.0,-295300000.0,978500000.0,-233100000.0,605400000.0,605400000.0,-0.5,-0.5,-295300000.0,-295300000.0,-295300000.0,1100000.0,-296300000.0,-296300000.0,300000.0,-296000000.0,1000000.0,1000000.0,3200000.0,3200000.0,7400000.0,7400000.0,-233100000.0,828700000.0,353100000.0,163500000.0,190600000.0,31600000.0,159000000.0,159000000.0,480400000.0,150200000.0,630600000.0,630600000.0
2022-12-31,0.0,0.21,-42100000.0,-289900000.0,46200000.0,156600000.0,-42100000.0,-308100000.0,8100000.0,5900000.0,14000000.0,-289900000.0,-289900000.0,1082800000.0,-305900000.0,614700000.0,614700000.0,-0.49,-0.49,-289900000.0,-289900000.0,-289900000.0,1600000.0,-291500000.0,-291500000.0,300000.0,-291200000.0,300000.0,300000.0,5900000.0,5900000.0,14000000.0,14000000.0,-305900000.0,933500000.0,445100000.0,301000000.0,165900000.0,28900000.0,137000000.0,137000000.0,637700000.0,156600000.0,794300000.0,794300000.0
2023-03-31,0.0,0.21,-207400000.0,-270600000.0,53700000.0,178900000.0,-207400000.0,-261200000.0,42200000.0,9700000.0,51900000.0,-270600000.0,-270600000.0,1103400000.0,-302300000.0,635000000.0,635000000.0,-0.43,-0.43,-270600000.0,-270600000.0,-270600000.0,1300000.0,-271900000.0,-271900000.0,1100000.0,-270800000.0,-300000.0,-300000.0,9700000.0,9700000.0,51900000.0,51900000.0,-302300000.0,924800000.0,429300000.0,362100000.0,133400000.0,35500000.0,97900000.0,97900000.0,622400000.0,178900000.0,801300000.0,801300000.0
2023-06-30,0.0,0.21,-144100000.0,-205900000.0,52800000.0,198600000.0,-144100000.0,-196900000.0,44400000.0,10200000.0,54600000.0,-205900000.0,-205900000.0,1130200000.0,-238000000.0,642800000.0,642800000.0,-0.32,-0.32,-205900000.0,-205900000.0,-205900000.0,1300000.0,-207200000.0,-207200000.0,100000.0,-207100000.0,-3300000.0,-3300000.0,10200000.0,10200000.0,54600000.0,54600000.0,-238000000.0,932900000.0,429300000.0,361700000.0,141900000.0,36300000.0,105600000.0,105600000.0,695000000.0,198600000.0,893500000.0,893500000.0
2023-09-30,0.0,0.21,-161600000.0,-239300000.0,68600000.0,205000000.0,-161600000.0,-230200000.0,46700000.0,9900000.0,56700000.0,-239300000.0,-239300000.0,1197800000.0,-278900000.0,651000000.0,651000000.0,-0.37,-0.37,-239300000.0,-239300000.0,-239300000.0,1100000.0,-240400000.0,-240400000.0,300000.0,-240100000.0,2300000.0,2300000.0,9900000.0,9900000.0,56700000.0,56700000.0,-278900000.0,992900000.0,476100000.0,365400000.0,151300000.0,52600000.0,98700000.0,98700000.0,714000000.0,205000000.0,918900000.0,918900000.0
2023-12-31,0.0,0.21,-260600000.0,-323700000.0,54500000.0,171700000.0,-260600000.0,-315100000.0,39500000.0,10000000.0,49500000.0,-323700000.0,-323700000.0,1107500000.0,-355200000.0,626800000.0,626800000.0,-0.52,-0.52,-323700000.0,-323700000.0,-323700000.0,1600000.0,-325300000.0,-325300000.0,900000.0,-325100000.0,900000.0,900000.0,10000000.0,10000000.0,49500000.0,49500000.0,-355200000.0,933500000.0,445100000.0,341100000.0,147300000.0,48500000.0,98800000.0,98800000.0,578300000.0,171700000.0,749900000.0,749900000.0
2024-03-31,0.0,0.21,-207101000.0,-270604000.0,53741000.0,178866000.0,-207101000.0,-260842000.0,31807000.0,10025000.0,42170000.0,-270604000.0,-270604000.0,1103628000.0,-302328000.0,635020000.0,635020000.0,-0.43,-0.43,-270604000.0,-270604000.0,-270604000.0,1316000.0,-271920000.0,-271920000.0,1053000.0,-270867000.0,-346000.0,-346000.0,31807000.0,338000.0,10025000.0,42170000.0,-302328000.0,924762000.0,429339000.0,362065000.0,133358000.0,35534000.0,97824000.0,97824000.0,622434000.0,178866000.0,801300000.0,801300000.0
2024-06-30,0.0,0.21,-144109000.0,-205883000.0,52772000.0,198557000.0,-144109000.0,-196881000.0,34179000.0,10204000.0,44383000.0,-205883000.0,-205883000.0,1131492000.0,-237949000.0,642814000.0,642814000.0,-0.32,-0.32,-205883000.0,-205883000.0,-205883000.0,1312000.0,-207195000.0,-207195000.0,110000.0,-207085000.0,-3315000.0,-3315000.0,34179000.0,,10204000.0,44383000.0,-237949000.0,932935000.0,429334000.0,361684000.0,141917000.0,36290000.0,105627000.0,105627000.0,694986000.0,198557000.0,893543000.0,893543000.0
2024-09-30,0.0,0.21,-161589000.0,-239324000.0,68613000.0,204998000.0,-161589000.0,-230202000.0,36432000.0,9942000.0,46718000.0,-239324000.0,-239324000.0,1197881000.0,-278928000.0,650961000.0,650961000.0,-0.37,-0.37,-239324000.0,-239324000.0,-239324000.0,1123000.0,-240447000.0,-240447000.0,303000.0,-240144000.0,2352000.0,2352000.0,36432000.0,344000.0,9942000.0,46718000.0,-278928000.0,992883000.0,476134000.0,365424000.0,151325000.0,52592000.0,98733000.0,98733000.0,713955000.0,204998000.0,918953000.0,918953000.0
2024-12-31,0.0,0.21,-157110000.0,-219573000.0,51311000.0,218741000.0,-157110000.0,-208421000.0,35929000.0,9983000.0,46260000.0,-219573000.0,-219573000.0,1232295000.0,-244112000.0,660900000.0,660900000.0,-0.33,-0.33,-219573000.0,-219573000.0,-219573000.0,1479000.0,-221052000.0,-221052000.0,2648000.0,-218404000.0,-10221000.0,-10221000.0,35929000.0,348000.0,9983000.0,46260000.0,-244112000.0,1013554000.0,503432000.0,355034000.0,155088000.0,49765000.0,105323000.0,105323000.0,769442000.0,218741000.0,988183000.0,988183000.0
2025-03-31,0.0,0.4,-151744000.0,-215056000.0,53734000.0,224725000.0,-151744000.0,-205478000.0,35973000.0,9999000.0,46323000.0,-215056000.0,-215056000.0,1289916000.0,-254709000.0,671657000.0,671657000.0,-0.32,-0.32,-215056000.0,-215056000.0,-215056000.0,1284000.0,-216340000.0,-216340000.0,863000.0,-215477000.0,3259000.0,3259000.0,35973000.0,351000.0,9999000.0,46323000.0,-254709000.0,1065191000.0,523691000.0,374600000.0,166900000.0,47768000.0,119132000.0,119132000.0,810482000.0,224725000.0,1035207000.0,1035207000.0
